Sentiment,Magnitude,DJIA,NASDAQComp,S&P500,SPXL,SPXS,DateTime,FaultyLinks,CommentsAnalyzed
-0.30000001192092896,73.9000015258789,31449.63,14049.64,3920.8,81.5,33.78,2021-02-11 11:00:14.052138,0,127
-0.20000000298023224,128.0,31434.01,14036.72,3914.73,81.5,33.77,2021-02-11 11:30:10.621702,0,206
-0.30000001192092896,139.39999389648438,31418.31,14039.67,3916.27,81.46,33.82,2021-02-11 12:00:10.579044,0,227
-0.30000001192092896,141.6999969482422,31301.37,13938.15,3901.28,80.31,34.27,2021-02-11 12:30:12.559688,0,258
0.0,80.5999984741211,31316.69,13950.07,3897.53,80.64,34.13,2021-02-11 13:00:29.556663,0,236
-0.30000001192092896,157.39999389648438,31343.35,13995.51,3905.91,80.95,34.01,2021-02-11 13:30:09.999099,0,240
-0.30000001192092896,162.10000610351562,31321.03,13999.38,3905.93,80.79,34.04,2021-02-11 14:00:11.763636,0,254
-0.30000001192092896,153.1999969482422,31311.37,13960.18,3900.22,80.71,34.1,2021-02-11 14:30:09.143895,0,260
-0.20000000298023224,161.0,31356.85,13979.96,3903.8,81.01,33.99,2021-02-11 15:00:12.904931,0,273
-0.20000000298023224,124.69999694824219,31402.77,14004.52,3911.32,81.2,33.85,2021-02-11 15:30:08.814382,0,216
-0.20000000298023224,147.10000610351562,31411.34,14016.6,3913.54,81.56,33.76,2021-02-11 16:00:11.301033,0,256
-0.20000000298023224,164.10000610351562,31430.7,14025.77,3916.38,81.55,33.74,2021-02-11 16:30:11.470285,0,250
-0.30000001192092896,162.60000610351562,31430.7,14025.77,3916.38,81.55,33.74,2021-02-11 17:00:10.588638,0,258
-0.30000001192092896,186.0,31430.7,14025.77,3916.38,81.55,33.74,2021-02-11 17:30:11.314864,0,290
-0.20000000298023224,189.6999969482422,31430.7,14025.77,3916.38,81.55,33.74,2021-02-11 18:00:10.528698,0,292
-0.30000001192092896,190.3000030517578,31430.7,14025.77,3916.38,81.55,33.74,2021-02-11 18:30:11.666580,0,284
-0.30000001192092896,151.5,31430.7,14025.77,3916.38,81.55,33.74,2021-02-11 19:00:10.247082,0,236
-0.30000001192092896,168.0,31430.7,14025.77,3916.38,81.55,33.74,2021-02-11 19:30:10.779285,0,271
-0.30000001192092896,178.6999969482422,31430.7,14025.77,3916.38,81.55,33.74,2021-02-11 20:00:10.706783,0,290
-0.20000000298023224,164.89999389648438,31430.7,14025.77,3916.38,81.55,33.74,2021-02-11 20:30:11.943159,0,244
-,-,-,-,-,-,-,-,-,
-0.30000001192092896,169.1999969482422,31422.5,14046.16,3922.5,81.0181,33.98,2021-02-12 12:00:11.938995,0,240
-0.30000001192092896,202.0,31406.52,14048.26,3921.81,81.0181,33.98,2021-02-12 12:30:09.857972,0,288
-0.20000000298023224,207.3000030517578,31390.13,14048.33,3920.29,81.0181,33.98,2021-02-12 13:00:09.878111,0,292
-0.20000000298023224,196.3000030517578,31376.19,14029.37,3917.77,81.0181,33.98,2021-02-12 13:30:09.938075,0,294
-0.20000000298023224,196.6999969482422,31378.41,14032.86,3917.31,81.0181,33.98,2021-02-12 14:00:14.067870,0,300
-0.30000001192092896,179.6999969482422,31370.94,14031.64,3917.73,81.0181,33.98,2021-02-12 14:30:08.569168,0,280
-0.20000000298023224,159.0,31375.14,14042.24,3920.43,81.0181,33.98,2021-02-12 15:00:09.868688,0,259
-0.20000000298023224,156.60000610351562,31389.72,14041.23,3922.16,81.0181,33.98,2021-02-12 15:30:09.412546,0,269
-0.20000000298023224,152.89999389648438,31449.39,14096.94,3935.6,81.0181,33.98,2021-02-12 16:00:08.819697,0,243
-0.20000000298023224,162.6999969482422,31458.4,14095.47,3934.83,81.0181,33.98,2021-02-12 16:30:08.392837,0,255
